"","25","30","35","40","45","50","55","60","65","70","75","80","85","90","95","100","105","110","115","120","125","130","135","140","145","150","155","160","165","170","175","180"
"1980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51314800901578e-05,0,0.000225394440270473,0.000601051840721262,0.0062359128474831,0.0552967693463561,0.178512396694215,0.189406461307288,0.184372652141247,0.160255447032307,0.105484598046582,0.0670924117205109,0.0320060105184072,0.0138993238166792,0.00653643876784373
"1981",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000176819025727168,0.000353638051454336,0.000884095128635841,0.00185659977013527,0.00265228538590752,0.008929360799222,0.113871452568296,0.24913800724958,0.211121916718239,0.163999646361949,0.115109185748387,0.0706392007780037,0.0311201485279816,0.023605339934577,0.00459729466890637,0.00194500928299885
"1982",0,0,0,0,0,0,0,0,0,0,0,0,0,7.39699681929137e-05,0,0,7.39699681929137e-05,0.000295879872771655,0.000739699681929137,0.000961609586507878,0.00221909904578741,0.00554774761446853,0.0991937273466972,0.242547525704564,0.223241364006213,0.189067238701087,0.12160662770915,0.0686441304830239,0.0287003476588505,0.0112434351653229,0.00436422812338191,0.00147939936385827
"1983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000597014925373134,0,0,0.00298507462686567,0.000597014925373134,0.00119402985074627,0.00537313432835821,0.00895522388059701,0.156417910447761,0.299701492537313,0.214925373134328,0.151044776119403,0.093134328358209,0.0417910447761194,0.0173134328358209,0.00298507462686567,0.00298507462686567,0
"1984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000786782061369001,0.00472069236821401,0.103855232100708,0.210464201416208,0.191974822974036,0.18095987411487,0.152242328874902,0.0963808025177026,0.0381589299763965,0.0177025963808025,0.002360346184107,0.0003933910306845
"1988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280290791599354,0.250080775444265,0.221163166397415,0.198465266558966,0.162116316639742,0.0848949919224556,0.038529886914378,0.0140549273021002,0.00218093699515347,0.000484652665589661
"1989",0,0,0,0,0,0,0,0,0,0,0,0,0,5.56235398820781e-05,0,0.000139058849705195,0.000444988319056625,0.000305929469351429,0.000361553009233508,0.000333741239292469,0.000611858938702859,0.00261430637445767,0.0539548336856157,0.286238736233174,0.227583713427523,0.16595283123818,0.110329291356102,0.0737568138836355,0.0419679608410279,0.0207753921459562,0.00976193124930471,0.00481143619979976
"1990",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00015552099533437,0.000251226223232444,0.000394784065079555,0.000897236511544443,0.00133987319057303,0.00241655700442637,0.00624476612034932,0.069912668979543,0.242780236870439,0.212465605933724,0.161574350998923,0.121198707979423,0.0821270486900347,0.0538581169996411,0.0298600311041991,0.011030027515253,0.0034932408182797
"1991",0,0,0,0,0,0,0,0,0,0,0,7.85996683093997e-05,0.000212219104435379,0.000251518938590079,0.000337978573730419,0.000558057644996738,0.000479457976687338,0.000730976915277418,0.000943196019712797,0.00151697359837141,0.00204359137604439,0.0049360591698303,0.0606789439348566,0.241065182704929,0.223285937733343,0.171590935886251,0.125531530256942,0.0842274045603528,0.0478671980004244,0.023572040525989,0.00762416782601177,0.00246802958491515
"1992",0,0,0,0,0,0,0,0,0,0,0,0,0,7.97479963315922e-06,3.18991985326369e-05,4.78487977989553e-05,7.17731966984329e-05,0.000167470792296344,0.000334941584592687,0.000574185573587464,0.00119621994497388,0.00354081103712269,0.0730810638382711,0.288392679133937,0.253925595119423,0.194425615056422,0.110530722915587,0.0491407153395271,0.0167550540292675,0.00559830934247777,0.00158698512699868,0.000590135172853782
"1993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39621903884281e-05,1.39621903884281e-05,0,9.7735332718997e-05,0.000474714473206557,0.00272262712574349,0.0578174303984809,0.210186814107397,0.212923403423529,0.206179665465918,0.152620703135908,0.0930859233196504,0.0409092178380944,0.0178995280779649,0.00417469492614001,0.000879617994470973
"1994",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.61559042591655e-05,0,0,7.2311808518331e-05,7.2311808518331e-05,0.000578494468146648,0.00263938101091908,0.0656952780389038,0.22141875768313,0.22225034348109,0.206414057415576,0.146286788632584,0.0883288741051414,0.0348542917058356,0.00950900282016053,0.00169932750018078,0.000144623617036662
"1995",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000622535795808259,5.18779829840216e-05,0.000207511931936086,0.00150446150653663,0.0807740195061216,0.242840838348205,0.226032371861382,0.193608632496369,0.136024071384105,0.0758974891056236,0.0306598879435568,0.00949367088607595,0.00207511931936086,0.000207511931936086
"1996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000225733634311512,0.000225733634311512,0.000677200902934537,0.0054176072234763,0.0460496613995485,0.17765237020316,0.187133182844244,0.193002257336343,0.176523702031603,0.117832957110609,0.0627539503386005,0.0234762979683973,0.00744920993227991,0.00158013544018059
"2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00141843971631206,0,0.0865248226950355,0.452482269503546,0.313475177304964,0.127659574468085,0.0170212765957447,0.00141843971631206,0,0,0,0
"2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000340136054421769,0.00102040816326531,0.0387755102040816,0.244557823129252,0.247278911564626,0.201020408163265,0.145918367346939,0.0792517006802721,0.0316326530612245,0.00782312925170068,0.00238095238095238,0
"2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000343229792345976,0,0,0,0,0.000686459584691951,0.0773983181740175,0.353526686116355,0.239231165265145,0.160288313025571,0.0928436588295864,0.0511412390595504,0.0176763343058177,0.00583490646988159,0.00102968937703793,0
"2008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000286532951289398,0.000573065902578797,0.0681948424068768,0.24269340974212,0.239255014326648,0.194269340974212,0.138968481375358,0.0710601719197708,0.0326647564469914,0.0100286532951289,0.00200573065902579,0
"2009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000413736036408771,0.000413736036408771,0.019859329747621,0.072403806371535,0.124948282995449,0.167149358709144,0.198179561439801,0.19859329747621,0.146048820852296,0.0583367811336367,0.0111708729830368,0.00248241621845263
"2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000210039907582441,0.000420079815164881,0.0140726738080235,0.111531190926276,0.15837009031716,0.172442764125184,0.174753203108591,0.127074144087377,0.0926275992438563,0.0642722117202268,0.0447385003150599,0.02667506826297,0.0115521949170342,0.00126023944549464,0
"2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000139169160114119,0.00180919908148354,0.035209797508872,0.174239788462877,0.211815461693689,0.197411453621877,0.164776285575117,0.106325238327187,0.0511446663419386,0.0263029712615684,0.0155869459327813,0.010507271588616,0.0037575673230812,0.000904599540741772,6.95845800570594e-05
"2015",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000287828947368421,0.00341282894736842,0.0332236842105263,0.155263157894737,0.19609375,0.205715460526316,0.170024671052632,0.107236842105263,0.0571957236842105,0.0316611842105263,0.0214638157894737,0.0122532894736842,0.00481085526315789,0.00111019736842105,0.000246710526315789
"2017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000288184438040346,0.00201729106628242,0.0132564841498559,0.115561959654179,0.197406340057637,0.223919308357349,0.181844380403458,0.125648414985591,0.0789625360230548,0.0380403458213256,0.0167146974063401,0.00518731988472622,0.000864553314121037,0,0.000288184438040346
"2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000907441016333938,0.029038112522686,0.174531155474894,0.239866908650938,0.219903206291591,0.163036902601331,0.0958862673926195,0.0390199637023593,0.0217785843920145,0.0114942528735632,0.00362976406533575,0.000604960677555959,0.000302480338777979,0
"2020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00270839602768583,0.0683117664760758,0.261510683117665,0.268432139632862,0.183869996990671,0.101113451700271,0.0565753836894373,0.0331026181161601,0.0147457117062895,0.00692145651519711,0.00210653024375564,0.000601865783930184,0,0
"2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00938566552901024,0.0767918088737201,0.236348122866894,0.299061433447099,0.227389078498294,0.0938566552901024,0.0409556313993174,0.0106655290102389,0.00341296928327645,0.000853242320819113,0.00127986348122867,0,0,0,0
"2022",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000211059518784297,0,0,0.00147741663149008,0.0219501899535669,0.127902068383284,0.249894470240608,0.222245673279865,0.146686365555087,0.0960320810468552,0.0728155339805825,0.0375685943436049,0.0168847615027438,0.00548754748839173,0.000844238075137189,0,0,0
"2023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015483300154833,0.0103959301039593,0.0831674408316744,0.156381331563813,0.177394381773944,0.17695200176952,0.149082061490821,0.119221411192214,0.0763105507631055,0.0358327803583278,0.0117230701172307,0.0019907100199071,0,0,0
"2024",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000157505118916365,0.0053551740431564,0.0255158292644511,0.0744999212474405,0.131831784532997,0.171208064262089,0.171838084737754,0.135769412505906,0.123956528587179,0.0822176720743424,0.0513466687667349,0.0179555835564656,0.00693022523232005,0.00110253583241455,0.00031501023783273,0
