"","year","stock","abund","other_m","fish_m","norm_abund","norm_f","norm_m","perc_change","perc_change_lag"
"1",1981,"PIBKC",7973253.079,0.322441,0.335553,0.717694658833268,1,0.518258910058795,0,-0.368023544146428
"2",1981,"PIRKC",1306839.63,0.528054,0,0.0290486930802811,0,0.572681959760192,0,-0.410247572256437
"3",1982,"PIBKC",5038908.22249,0.513719,0.228616,0.453566126874487,0.68131114905842,0.825699737367438,-0.368023544146428,-0.450661196676421
"4",1982,"PIRKC",770711.844464,0.694492,0,0.0171315372668734,0,0.753186302154279,-0.410247572256437,-0.500671666065752
"5",1983,"PIBKC",2768067.813,0.622162,0.163658,0.249161473365342,0.487726231027587,1,-0.450661196676421,-0.490876203617054
"6",1983,"SMBKC",169256139.81,1.15554,1.05371,0.88342404577653,0.926037245027991,0.645322342849484,0,-0.628712367240889
"7",1984,"BBRKC",178505315,1.36717,0.185253,0.504911568432658,0.0689878225896548,1,0,-0.654349554801772
"8",1984,"SMBKC",62842711.48,0.675062,1.13787,0.328004422678844,1,0.376994817495421,-0.628712367240889,-0.351265443360529
"9",1990,"BBRKC",43365483,0.39786,0.403548,0.122661524321389,0.150280415596023,0.291009896355245,0,-0.311870295552802
"10",1992,"Tanner",973209456.548,0.810376,1.48484,0.517573882318002,0.470897910383387,0.816131358339007,0,-0.328064456386479
"11",1994,"PIRKC",44946520.282,0.833588,0.000201703,0.999080256464556,0.379284991669769,0.904037862553033,0,-0.346578400803108
"12",1995,"PIRKC",29369027.161,0.922072,0.000237119,0.652820618905112,0.445881706963922,1,-0.346578400803108,-0.338904324220084
"13",1995,"Snow",10034753803.37,0.851511,1.69125,0.652307976758581,0.246736440984582,0.492638576313156,0,-0.339465251636368
"14",1996,"Snow",6628303578.4,0.79172,1.80243,0.430872085283819,0.262956489770194,0.458046711831851,-0.339465251636368,-0.341364831228232
"15",1997,"PIBKC",3220119.0429,0.413928,0.042998,0.28985186033835,0.128140711005415,0.665305820670501,0,-0.34988887058204
"16",1997,"Snow",4365633846.03,0.799868,1.89501,0.283787508609952,0.276462984792428,0.46276070744647,-0.341364831228232,-0.32468873993613
"17",1998,"BBRKC",74224722,0.418219,0.370436,0.209948486976413,0.137949577328418,0.305901241250174,0,-0.302213001215417
"18",1998,"PIBKC",2093435.22784,0.450005,0.0569936,0.188435920288462,0.169849770379046,0.723292325792961,-0.34988887058204,-0.308443021571886
"19",1998,"SMBKC",162449780.67,1.79064,0.65777,0.847898591070918,0.578071308673223,1,0,-0.805644037635622
"20",1999,"PIBKC",1447729.7407,0.481047,0,0.130314175662009,0,0.773186083367355,-0.308443021571886,-0.300409442849267
"21",2000,"PIBKC",1012818.0559,0.514855,0,0.0911665667560237,0,0.827525628373317,-0.300409442849267,-0.402412667246368
"22",2005,"BBRKC",133243390,0.550988,0.176773,0.376885859270825,0.0658298886530369,0.403013524287397,0,-0.310944580440351
"23",2005,"PIBKC",1408169.41427,0.42237,0,0.126753240783962,0,0.678874633937785,0,-0.344508906416982
"24",2006,"BBRKC",91812080,0.422565,0.180163,0.259695243885958,0.0670923174319443,0.309080070510617,-0.310944580440351,-0.305127898202502
"25",2007,"BBRKC",63797653,0.427091,0.317842,0.180454979945849,0.118363683759729,0.31239055859915,-0.305127898202502,-0.309443562132294
"26",2011,"SMBKC",171285727.46,0.844916,0.250832,0.894017378077703,0.220439944809161,0.471851405084216,0,-0.449712972541676
"27",2012,"SMBKC",94256313.81,0.884455,0.390122,0.491966165478464,0.342852874229921,0.493932337041505,-0.449712972541676,-0.500715745092005
"28",2015,"BBRKC",46205052,0.613347,0.17544,0.13069339293809,0.0653334822924813,0.448625262403359,0,-0.409513509475111
"29",2015,"PIRKC",44987897.61,0.476429,0,1,0,0.516693924118724,0,-0.379002407598838
"30",2016,"BBRKC",27283459,0.555782,0.242638,0.077172682930803,0.0903578743529587,0.406520037742197,-0.409513509475111,-0.380815387081235
"31",2016,"PIRKC",27937376.103,0.703862,0,0.620997592401162,0,0.763348198405331,-0.379002407598838,-0.458247060704647
"32",2017,"PIRKC",15135155.62,0.743689,0,0.336427270978667,0,0.806541137785336,-0.458247060704647,-0.524642628552636
"33",2018,"PIRKC",7194607.79197,0.611692,0,0.159923183215629,0,0.663388542326413,-0.524642628552636,-0.457567722986828
"34",2018,"Snow",10893555141.0503,1.03638,3.22148,0.708134255509104,0.469981676217598,0.599593860466193,0,-0.448467302114508
"35",2019,"BBRKC",39546524,0.858534,0.514343,0.111859400146711,0.191540237589841,0.627964335086346,0,-0.429738153472098
"36",2019,"PIRKC",3902587.486815,0.431955,0,0.0867474964188485,0,0.468461248145481,-0.457567722986828,-0.350761051255964
"37",2019,"Snow",6008151856.50785,1.59638,5.30889,0.39055919640607,0.774513894562388,0.923579813360949,-0.448467302114508,-0.803267055314804
"38",2021,"BBRKC",24191336.6,0.780818,0.0107135,0.0684264538856356,0.00398968457900421,0.571119904620493,0,-0.529746599449986
